,0
4k2u,50
4idj,50
5mes,50
5gzo,50
3mac,50
1mlc,50
2wuc,50
5anm,50
6b0s,50
5c6t,49
3uyp,49
3bdy,49
2bdn,49
5sy8,49
6mi2,48
5yoy,47
6a0z,47
4cni,47
4f9l,47
4i2x,45
1sy6,45
3kr3,44
5c0n,43
4u6h,42
1cz8,42
4j4p,40
6eyo,40
5w6g,40
1ob1,39
4ybl,38
1fe8,37
2ny7,37
5j13,36
5w0k,35
4ffz,35
6flc,33
4yk4,31
3c09,29
4lqf,29
3a6b,28
6b0e,28
4dn4,26
3k2u,26
4cmh,26
5kvd,25
4k24,25
3t2n,25
4liq,24
5n7w,23
1p2c,23
4uu9,23
5t5f,23
3h42,22
5otj,22
5w42,22
3q1s,21
4dgi,20
5lcv,20
5bvp,20
2cmr,19
5dwu,18
5d1q,17
3g6d,17
5i5k,17
2vwe,17
2ybr,17
1yym,17
3ve0,17
6ii8,15
5u8q,15
4etq,15
4dke,14
4ypg,13
4u6v,12
5w06,12
3dvn,12
5wux,11
1nby,11
3etb,10
5vob,10
5grj,10
5wi9,10
5w08,10
4qci,10
2ypv,10
5vyf,9
2nyy,8
4zs7,7
3l5y,7
3l5w,7
5czv,7
4d9r,6
3hi6,6
1fsk,5
6cwt,5
4p59,5
5ywy,5
4np4,5
5mi0,4
3qwo,3
4r8w,3
5hys,3
4k9e,3
5l6y,3
5xmh,2
4fqr,2
6mft,2
1iqd,2
5igx,2
5ngv,2
4jkp,1
5k59,1
5u7m,1
5kve,1
4lu5,1
6fgb,1
5kvf,1
4dtg,1
3sqo,1
3lqa,1
